name,poi_clf_acc,poi_clf_pre,poi_clf_recall,poi_clf_f1-micro,poi_clf_f1-macro,traj_pre_acc1,traj_pre_acc5,traj_pre_f1-micro,traj_pre_f1-macro
tale_128_ny,0.1654235675162461,0.2093021567344545,0.081862299997764,0.1095037960968096,0.1095037960968096,5.183000087738037,12.355503,0.0177891292319501,0.0177891292319501
tale_256_ny,0.2023715524173714,0.3300258955710009,0.1268660259401694,0.1727085783487303,0.1727085783487303,4.723355770111084,11.419065,0.0192662090651106,0.0192662090651106
tale_128_sg,0.2460689849274322,0.2487415167459089,0.1059729435663066,0.1376368064943906,0.1376368064943906,6.601400852203369,16.170288,0.030015089140069,0.030015089140069
tale_256_sg,0.3024617356823912,0.3929284714636814,0.1681668123008624,0.2214698468414483,0.2214698468414483,3.5279324054718018,9.029998,0.0166176776782993,0.0166176776782993
tale_128_tky,0.2318245457035128,0.2706986382300734,0.1351096650150856,0.1673162081819441,0.1673162081819441,12.43932056427002,28.575493,0.0521964417479307,0.0521964417479307
tale_256_tky,0.3431799252671664,0.4143815347357453,0.2410235332199011,0.2916322295738484,0.2916322295738484,9.74969482421875,22.925858,0.0406240664310955,0.0406240664310955
ctle_128_ny,0.0951072343813055,0.247004529868835,0.1927114949686464,0.2053975355823382,0.2053975355823382,10.530648231506348,23.781429,0.0421694427486751,0.0421694427486751
ctle_256_ny,0.361090797686553,0.4068815027547364,0.4166382318910256,0.4022654062062882,0.4022654062062882,8.510272979736328,18.337734,0.0333676464706088,0.0333676464706088
ctle_128_sg,0.1460006787702424,0.3011721743076169,0.237695121810023,0.2534177058325929,0.2534177058325929,10.625112533569336,24.564398,0.0516246549594955,0.0516246549594955
ctle_256_sg,0.4733029353883074,0.4919659145502509,0.5040478505035277,0.488634579151005,0.488634579151005,8.88449764251709,20.822704,0.041755357324076,0.041755357324076
ctle_128_tky,0.1576861715980368,0.3049810869701533,0.2451761962060354,0.2596066444881094,0.2596066444881094,17.367929458618164,37.151936,0.0751596315800114,0.0751596315800114
ctle_256_tky,0.4984437193322315,0.4997500124266295,0.528800213866284,0.4968854716221242,0.4968854716221242,17.35527992248535,36.402447,0.0726964899831533,0.0726964899831533
teaser_128_ny,0.0760926435470487,0.0970331582715336,0.0290904984732876,0.0364095426940688,0.0364095426940688,3.5193631649017334,8.791548,0.0121690447369806,0.0121690447369806
teaser_256_ny,0.0773861913547961,0.1010362487494743,0.0300356235323417,0.0370239472094443,0.0370239472094443,3.392446756362915,8.599458,0.0132213690222382,0.0132213690222382
teaser_128_sg,0.1765857988981681,0.1180793006758989,0.0376125244369429,0.0508789133984828,0.0508789133984828,3.962636947631836,10.185019,0.0174774623894464,0.0174774623894464
teaser_256_sg,0.1784842099122749,0.1291731746355257,0.0415564751034616,0.0553271754971697,0.0553271754971697,3.1183760166168213,8.178552,0.0139276584349908,0.0139276584349908
teaser_128_tky,0.1499247416003704,0.1252479417476746,0.0521141500640405,0.0632720784656024,0.0632720784656024,9.99952507019043,23.468208,0.0415318185868569,0.0415318185868569
teaser_256_tky,0.1529156164818469,0.1330623847164336,0.0542316959030496,0.0655481473640637,0.0655481473640637,8.62071704864502,20.743797,0.0341874594406837,0.0341874594406837
